customer_id,committed_exposure_global,utilized_exposure_global,line_reported_on_fr_y_9c,credit_facility_currency,country,origination_date,obligor_internal_risk_rating
CUST9430,11711,1834,1,INR,IN,2023-08-04,4
CUST4074,6744,3324,0,USD,US,2023-11-22,2
CUST7767,73158,5247,0,EUR,IN,2023-04-13,2
CUST3509,45558,1556,0,EUR,IN,2024-10-30,1
CUST7920,47427,2341,9,EUR,IN,2024-07-17,2
CUST8548,49594,2306,3,USD,DE,2024-02-20,3
CUST5749,43655,5301,0,USD,UK,2024-06-27,1
CUST1500,96397,5448,6,INR,IN,2024-06-30,4
CUST1446,9520,5686,5,INR,IN,2024-05-01,4
CUST7777,8593,9336,9,INR,US,2024-11-25,4
CUST7070,1315,5437,1,USD,US,2022-10-15,5
CUST5351,15536,9151,5,USD,IN,2024-08-10,3
CUST2539,85492,1430,7,EUR,US,2024-01-02,5
CUST2930,87949,4896,9,EUR,US,2023-09-02,1
CUST7653,48756,8797,6,INR,UK,2024-03-07,1
CUST1354,54246,2025,6,EUR,US,2024-08-07,4
CUST7427,38674,9412,9,USD,US,2024-11-28,1
CUST4694,75390,3797,1,INR,DE,2023-07-04,2
CUST5035,62776,1541,8,USD,US,2024-09-25,1
CUST6151,7838,6021,1,EUR,US,2024-08-27,4
CUST8945,99118,9384,6,USD,UK,2023-08-14,5
CUST4588,17736,4604,8,EUR,US,2024-05-11,1
CUST9029,9097,5144,5,INR,US,2025-03-06,5
CUST1653,51057,1811,7,EUR,UK,2023-12-16,3
CUST1058,94932,3315,7,USD,DE,2024-04-05,3
CUST3998,28882,9736,3,USD,US,2024-06-16,1
CUST2354,53394,5920,7,USD,US,2022-12-14,3
CUST4336,59959,7958,1,USD,UK,2024-12-17,5
CUST6644,51716,9527,6,EUR,DE,2023-10-13,2
CUST2870,71450,8603,6,USD,IN,2024-09-24,4
CUST6020,41839,7030,5,EUR,UK,2024-09-16,2
CUST8963,56415,9874,8,EUR,DE,2022-08-27,1
CUST2402,63417,5319,1,INR,UK,2023-06-01,1
CUST4585,50886,2779,9,USD,IN,2024-06-30,1
CUST2332,88159,9695,5,EUR,UK,2024-09-02,2
CUST1952,2316,7817,1,INR,US,2023-08-26,5
CUST3318,26110,6203,3,USD,IN,2023-08-20,5
CUST6107,77953,1175,2,EUR,US,2023-10-09,1
CUST8740,17723,366,6,EUR,UK,2024-06-14,1
CUST1553,95290,481,9,EUR,IN,2024-04-12,5
CUST9928,89046,3969,3,EUR,UK,2024-04-23,5
CUST4674,3951,7428,8,USD,DE,2023-08-01,5
CUST4368,4133,5017,7,EUR,IN,2022-10-18,4
CUST7706,69886,8560,8,INR,UK,2024-02-08,2
CUST1998,90243,8321,3,INR,DE,2022-11-07,4
CUST5154,72831,9214,8,USD,DE,2025-03-04,2
CUST4589,78010,2322,8,USD,US,2022-10-03,2
CUST6429,8692,6326,9,INR,UK,2023-02-14,1
CUST4340,45137,9059,0,USD,DE,2024-01-14,4
CUST7200,90179,6442,5,EUR,US,2023-07-04,2
CUST1211,2463,4505,1,USD,UK,2023-01-06,1
CUST3231,21576,617,8,EUR,UK,2023-05-31,4
CUST3893,23798,4693,8,INR,US,2024-09-07,3
CUST5947,62865,1148,2,INR,IN,2025-01-22,5
CUST4467,97095,989,3,EUR,DE,2025-01-27,5
CUST4755,81803,1418,4,EUR,IN,2024-12-10,3
CUST1605,60705,2756,4,INR,US,2023-12-05,4
CUST3892,37580,5703,2,INR,US,2023-08-16,1
CUST6074,16995,2379,4,EUR,US,2023-07-03,2
CUST6061,16129,8147,1,EUR,DE,2025-02-05,1
"CUST,123",73381,389,9,INR,DE,2023-04-15,3
CUST8865,9236,7890,1,INR,DE,2024-01-21,3
